Source,Target,Type,Id,Label,timeset,Weight,epoche (adoptivkaiser = antoninische dynastie),background_map_edge;;
"Traian,Aachen / Aquae Granni,Undirected,0,,""<[98.0, 117.0]>"",1,Adoptivkaiser,";;
"Septimus Severus, Caracalla,Alphen aan den Rijn / Albaniana,Undirected,1,,""<[208.0, 211.0]>"",1,Severer,";;
"Maximinus Thrax,Alsheim,Undirected,2,,""<[236.0, 238.0]>"",1,Soldatenkaiser,";;
"Gallienus,Altenburg bei Brugg,Undirected,3,,""<[260.0, 260.0]>"",1,Soldatenkaiser,";;
"Carus,Altrip / Alta Ripa,Undirected,4,,""<[282.0, 283.0]>"",1,Soldatenkaiser,";;
"Decius,Altrip / Alta Ripa,Undirected,5,,""<[249.0, 250.0]>"",1,Soldatenkaiser,";;
"Diocletian,Altrip / Alta Ripa,Undirected,6,,""<[284.0, 305.0]>"",1,Tetrarchisch,";;
"Gallienus,Altrip / Alta Ripa,Undirected,7,,""<[253.0, 268.0]>"",1,Soldatenkaiser,";;
"Licinius,Altrip / Alta Ripa,Undirected,8,,""<[308.0, 324.0]>"",1,Tetrarchisch,";;
"Postumus,Altrip / Alta Ripa,Undirected,9,,""<[267.0, 268.0]>"",1,""Usupator Imp. Galliarum, Soldatenkaiser"",";;
"Septimus Severus,Altrip / Alta Ripa,Undirected,10,,""<[193.0, 194.0]>"",1,Severer,";;
"Severus Alexander,Altrip / Alta Ripa,Undirected,11,,""<[222.0, 235.0]>"",1,Severer,";;
"Trebonianus Gallus, Volusianus,Amsoldingen / Thun,Undirected,12,,""<[251.0, 253.0]>"",1,Soldatenkaiser,";;
"Marc Aurel, Lucius Verus,Andernach / Antunnacum,Undirected,13,,""<[164.0, 164.0]>"",1,Adoptivkaiser,";;
"Traian,Andernach / Antunnacum,Undirected,14,,""<[98.0, 99.0]>"",1,Adoptivkaiser,";;
"Carinus,Arch,Undirected,15,,""<[284.0, 285.0]>"",1,Soldatenkaiser,";;
"Antoninus Pius,Augst / Augusta Raurica,Undirected,16,,""<[139.0, 145.0]>"",1,Adoptivkaiser,";;
"Caligula, Claudius, Nero, Galba, Otho, Vitellius, Vespasian, Titus, Domitian,Augst / Augusta Raurica,Undirected,18,,""<[46.0, 85.0]>"",2,""Julisch-claudisch, Flavier"",";;
"Tiberius,Augst / Augusta Raurica,Undirected,19,,""<[14.0, 54.0]>"",1,Julisch-claudisch,";;
"Hadrian,Auxonne,Undirected,20,,""<[117.0, 138.0]>"",1,Adoptivkaiser,";;
"Claudius,Avenches / Aventicum,Undirected,21,,""<[43.0, 54.0]>"",3,Julisch-claudisch,";;
"Galerius,Avenches / Aventicum,Undirected,24,,""<[293.0, 305.0]>"",1,Tetrarchisch,";;
"Hadrian, Antoninus Pius,Avenches / Aventicum,Undirected,25,,""<[138.0, 150.0]>"",1,Adoptivkaiser,";;
"Iulia Domna,Avenches / Aventicum,Undirected,26,,""<[195.0, 217.0]>"",1,Severer,";;
"Septimus Severus,Avenches / Aventicum,Undirected,27,,""<[193.0, 211.0]>"",1,Severer,";;
"Septimus Severus, Caracalla,Avenches / Aventicum,Undirected,29,,""<[193.0, 211.0]>"",1,Severer,";;
"Traian,Avenches / Aventicum,Undirected,30,,""<[110.0, 114.0]>"",1,Adoptivkaiser,";;
"Vespasian,Avenches / Aventicum,Undirected,31,,""<[69.0, 79.0]>"",1,Flavier,";;
"Septimus Severus, Caracalla,Bad Ems,Undirected,32,,""<[197.0, 209.0]>"",1,Severer,";;
"Iulianus,Bad Neuenahr-Ahrweiler,Undirected,33,,""<[360.0, 360.0]>"",1,Zwischenkaiser,";;
"Aurelian,Bad Salzig / Salisio,Undirected,34,,""<[270.0, 275.0]>"",1,Soldatenkaiser,";;
