Id,Label,timeset,lat,lng,provinz,background_map_node
"Aachen / Aquae Granni,Aachen / Aquae Granni,""<[98.0, 117.0]>"",50.7753,6.0839,Germania inferior,"
"Alphen aan den Rijn / Albaniana,Alphen aan den Rijn / Albaniana,""<[208.0, 211.0]>"",52.1292,4.6685,Germania inferior,"
"Alsheim,Alsheim,""<[236.0, 238.0]>"",49.8034,8.2884,Germania superior  ,"
"Altenburg bei Brugg,Altenburg bei Brugg,""<[260.0, 260.0]>"",47.4821,8.1956,Germania superior  ,"
"Altrip / Alta Ripa,Altrip / Alta Ripa,""<[193.0, 324.0]>"",49.4333,8.4597,Germania superior  ,"
"Amsoldingen / Thun,Amsoldingen / Thun,""<[251.0, 253.0]>"",46.7235,7.5623,Germania superior  ,"
"Andernach / Antunnacum,Andernach / Antunnacum,""<[98.0, 164.0]>"",50.43,7.4063,Germania superior  ,"
"Arch,Arch,""<[193.0, 324.0]>"",47.1267,7.4365,Germania superior  ,"
"Augst / Augusta Raurica,Augst / Augusta Raurica,""<[14.0, 145.0]>"",47.5326,7.7214,Germania superior  ,"
"Auxonne,Auxonne,""<[117.0, 138.0]>"",47.1906,5.3881,Belgica | Germania superior  ,"
"Avenches / Aventicum,Avenches / Aventicum,""<[43.0, 305.0]>"",46.8803,7.0433,Germania superior  ,"
"Bad Ems,Bad Ems,""<[197.0, 209.0]>"",50.3286,7.7156,Germania superior  ,"
"Bad Neuenahr-Ahrweiler,Bad Neuenahr-Ahrweiler,""<[360.0, 360.0]>"",50.5467,7.1252,Germania superior  ,"
"Bad Salzig / Salisio,Bad Salzig / Salisio,""<[219.0, 275.0]>"",50.1876,7.6261,Germania superior  ,"
"Baden / Aquae Helvetiorum,Baden / Aquae Helvetiorum,""<[275.0, 276.0]>"",47.4731,8.3071,Germania superior  ,"
"Baden-Baden / Aquae,Baden-Baden / Aquae,""<[197.0, 197.0]>"",48.7596,8.2398,Germania superior  ,"
"Beek,Beek,""<[98.0, 102.0]>"",50.9394,5.7959,Germania inferior,"
"Bern,Bern,""<[101.0, 150.0]>"",46.9481,7.4474,Germania superior  ,"
"Bingen / Bingium,Bingen / Bingium,""<[229.0, 229.0]>"",49.9677,7.8993,Germania superior  ,"
"Bonn / Bonna,Bonn / Bonna,""<[1.0, 295.0]>"",50.7374,7.0982,Germania inferior,"
"Boppard / Baudobriga,Boppard / Baudobriga,""<[219.0, 375.0]>"",50.2307,7.589,Germania superior  ,"
"Brohl-Lützing,Brohl-Lützing,""<[282.0, 283.0]>"",50.5073,7.3362,Germania superior  ,"
